METRIC,METRIC_CODE,DESCRIPTION,CATEGORY,CAT_CODE,DATA_SOURCE,SOURCE_YEAR
People of Color,POCPCT,% people of color,Social Vulnerability,SOCVUL,EPA EJScreen,2023
Low Income,LWINCPCT,% low income,Social Vulnerability,SOCVUL,EPA EJScreen,2023
Less Than High School Education,LESHSPCT,% less than high school education,Social Vulnerability,SOCVUL,EPA EJScreen,2023
Limited English Speaking,LNGISPCT,% limited english speaking households,Social Vulnerability,SOCVUL,EPA EJScreen,2023
Under Age 5,UNDR5PCT,% under age 5,Social Vulnerability,SOCVUL,EPA EJScreen,2023
Over Age 64,OVR64PCT,% over age 64,Social Vulnerability,SOCVUL,EPA EJScreen,2023
Unemployment Rate,UNEMPPCT,% unemployed,Social Vulnerability,SOCVUL,EPA EJScreen,2023
Life Expectancy,LIFEEXPT,Low life expectancy,Health,HEALTH,EPA EJScreen,2023
Cancer,CANCER_2,Cancer,Health,HEALTH,CDC PLACES,2022
Asthma,ASTHMA,Asthma,Health,HEALTH,CDC PLACES,2022
Diabetes,DIABE,Diabetes,Health,HEALTH,CDC PLACES,2022
High Blood Pressure,BPHIGH,High blood pressure,Health,HEALTH,CDC PLACES,2022
Mental Health,MHEALTH,Mental health,Health,HEALTH,CDC PLACES,2022
Diesel Particulate Matter,DSLPM,Diesel particulate matter,Environmental Burden,ENVBUR,EPA EJScreen,2023
Particulate Matter 2.5,PM25,Particulate matter 2.5,Environmental Burden,ENVBUR,EPA EJScreen,2023
Ozone,OZONE,Ozone,Environmental Burden,ENVBUR,EPA EJScreen,2023
Air Toxics Cancer Risk,CANCER,Air toxics cancer risk,Environmental Burden,ENVBUR,EPA EJScreen,2023
Respiratory Hazard Index,RESP,Air toxics respiratory hazard index,Environmental Burden,ENVBUR,EPA EJScreen,2023
Toxic Releases to Air,RSEIAIR,Toxic releases to air,Environmental Burden,ENVBUR,EPA EJScreen,2023
Lead Paint,LDPNT,Lead paint,Environmental Burden,ENVBUR,EPA EJScreen,2023
Traffic Proximity,PTRAF,Traffic proximity,Environmental Burden,ENVBUR,EPA EJScreen,2023
RMP Facility Proximity,PRMP,RMP facility proximity,Environmental Burden,ENVBUR,EPA EJScreen,2023
Hazardous Waste Facilities,PTSDF,Hazardous waste facilities,Environmental Burden,ENVBUR,EPA EJScreen,2023
Superfund Proximity,PNPL,Superfund proximity,Environmental Burden,ENVBUR,EPA EJScreen,2023
Water Pollution,PWDIS,Water pollution,Environmental Burden,ENVBUR,EPA EJScreen,2023
Underground Storage Tanks,UST,Underground storage tanks,Environmental Burden,ENVBUR,EPA EJScreen,2023
Impervious Surfaces,IMPER,% impervious surfaces,Environmental Burden,ENVBUR,NLCD,2021
Lack of Trees,TREE,% no tree cover,Environmental Burden,ENVBUR,NLCD,2021
Flood Risk,FLOOD,Flood risk,Climate Risk,CLIMATE,First Street,2022
Heat Risk,HEAT,Heat risk,Climate Risk,CLIMATE,First Street,2022
Sea Level Rise,SLR,% land inundated (0.85 ft sea level rise),Climate Risk,CLIMATE,NOAA,2016
